path,family,size,sha256,technical,status,evidence
gfx/c_shooting.gif,graphics,223,c364927af34bd1fca3163d7d92c7af5a6d8fddb55488e7c8c600f9136c1ac6dc,GIF/PNG bitmap asset,QUARANTINE_UNVERIFIED_PROVENANCE,included in upstream archive under project-wide GPL statement; no per-file author/source/license metadata found
gfx/c_thinking.gif,graphics,322,1d5e7a6427969c3b368740d466f8ba86af45c3aac4c9c6f0bc1e3ef52e60de4f,GIF/PNG bitmap asset,QUARANTINE_UNVERIFIED_PROVENANCE,included in upstream archive under project-wide GPL statement; no per-file author/source/license metadata found
gfx/cpktblue.gif,graphics,92,380618653dbc3b2679f165b68aae5c97420d074e2c29ed22ad691dc96842e429,GIF/PNG bitmap asset,QUARANTINE_UNVERIFIED_PROVENANCE,included in upstream archive under project-wide GPL statement; no per-file author/source/license metadata found
gfx/cpktred.gif,graphics,92,334fff40705238f818795398d22d39ee2f717784c1b1454bc7391e2ae66516bb,GIF/PNG bitmap asset,QUARANTINE_UNVERIFIED_PROVENANCE,included in upstream archive under project-wide GPL statement; no per-file author/source/license metadata found
gfx/earth.gif,graphics,8525,113397c3f345b6571045841c7c8e8132351a77fbcf4b4c7cc22f97fe1f7cb6b4,GIF/PNG bitmap asset,QUARANTINE_HIGH_PROVENANCE_PRIORITY,included in upstream archive under project-wide GPL statement; no per-file author/source/license metadata found; photographic/texture-like planetary imagery warrants source tracing
gfx/explosionanim.gif,graphics,4393,d0df47ea2cf5823c50e02fdebaeb851722af582d9d7ca73e6422f58c1a913876,GIF/PNG bitmap asset,QUARANTINE_UNVERIFIED_PROVENANCE,included in upstream archive under project-wide GPL statement; no per-file author/source/license metadata found
gfx/extra.gif,graphics,2860,50d6d18b57937b3f590ada6a731802fa61dbd9aacb08a5b14a1b5d892023d8e6,GIF/PNG bitmap asset,QUARANTINE_UNVERIFIED_PROVENANCE,included in upstream archive under project-wide GPL statement; no per-file author/source/license metadata found
gfx/extra0.gif,graphics,576,be741647ee938049ddea50e15c474ada93ca688b2670343501e3e19cd4718558,GIF/PNG bitmap asset,QUARANTINE_UNVERIFIED_PROVENANCE,included in upstream archive under project-wide GPL statement; no per-file author/source/license metadata found
gfx/extra1.gif,graphics,615,af59c98ab8aa801424415bbd6c97671c159f278ec539fe3a435a9a5a6db63d5a,GIF/PNG bitmap asset,QUARANTINE_UNVERIFIED_PROVENANCE,included in upstream archive under project-wide GPL statement; no per-file author/source/license metadata found
gfx/extra2.gif,graphics,613,a013032cf3077863a638b19a807900edfe8f3a070c108e0ed395ce7f9e75ceb9,GIF/PNG bitmap asset,QUARANTINE_UNVERIFIED_PROVENANCE,included in upstream archive under project-wide GPL statement; no per-file author/source/license metadata found
